"id","count"
296,67310
356,66172
318,63366
593,63299
480,59715
260,54502
110,53769
589,52244
2571,51334
527,50054
1,49695
457,49581
150,47777
780,47048
50,47006
1210,46839
592,46054
1196,45313
2858,44987
32,44980
590,44208
1198,43295
608,43272
47,43249
380,43159
588,41842
377,41562
1270,41426
858,41355
2959,40106
2762,39028
364,38991
344,38226
4993,37553
648,37127
2028,37110
1580,35580
595,35138
500,34392
367,34384
5952,33947
165,33940
597,33900
1240,33429
1136,33024
3578,32878
153,32867
1097,32685
1197,32586
736,32446
34,32255
1721,32238
231,32085
1265,32026
4306,31972
316,31799
7153,31577
733,31353
1291,31280
1214,30933
541,30526
4226,30443
1036,30399
1193,29932
2628,29574
349,29571
587,29488
2716,29381
10,29005
539,28805
586,28348
1073,28335
1704,28324
208,27775
357,27699
1527,27660
1089,27635
253,27568
1221,27398
1200,27206
2997,27160
3793,26846
1617,26836
1213,26406
329,26404
39,26254
292,26246
293,25804
454,25689
6539,25257
924,25253
3996,25090
434,24940
1206,24694
2683,24651
185,24618
1961,24591
1923,24582
2396,24521
111,24481
1682,24372
912,24349
4973,24349
21,24116
6,23899
4963,23769
223,23695
4886,23657
5445,23642
161,23628
288,23610
778,23589
6377,23569
919,23445
1258,23410
5349,23404
2918,23317
2329,23309
2706,23301
750,23220
339,23214
1208,23090
3114,22770
7361,22352
1393,22319
2,22243
1387,22168
95,22104
1517,22074
141,22020
4995,21931
1222,21926
1307,21888
6874,21746
2987,21739
1784,21684
25,21553
2291,21394
1610,21349
2115,21266
1968,21158
1917,21103
3147,21080
19,20938
36,20809
1259,20804
2916,20791
1732,20725
17,20667
300,20601
1080,20557
1225,20545
1246,20538
551,20509
2355,20465
58559,20438
1101,20338
2502,20328
5418,20091
2174,19988
8961,19890
1584,19874
1220,19824
2012,19724
1079,19674
1219,19649
2797,19506
508,19489
4027,19459
2011,19446
62,19381
1356,19324
440,19297
2710,19111
4022,18913
2791,18866
474,18836
788,18799
4878,18731
33794,18686
7438,18684
410,18618
1653,18573
1573,18460
3897,18434
442,18307
11,18162
2324,18156
5989,18002
104,17915
337,17881
923,17774
594,17766
2000,17620
4011,17617
1127,17508
904,17449
16,17394
2700,17371
4896,17239
1391,17230
509,17068
368,17062
1247,17039
2692,17029
6365,17003
1485,16832
2617,16761
353,16524
2054,16510
3751,16472
5378,16425
235,16419
4034,16379
3623,16230
317,16183
266,16171
786,16135
1407,16067
1288,16054
3977,15977
3408,15909
1374,15893
3481,15887
350,15833
1090,15808
3052,15753
6711,15739
3948,15713
8636,15712
1380,15630
908,15627
1370,15579
6333,15573
1304,15558
1394,15483
32587,15481
2194,15442
1230,15383
1625,15373
555,15360
1676,15341
1183,15330
2542,15325
1641,15323
1252,15310
708,15263
2268,15211
553,15157
2640,15089
1278,15087
1148,15022
173,14993
160,14965
420,14934
1234,14926
1954,14865
1207,14769
2712,14615
8360,14564
3527,14537
1544,14530
3949,14515
1201,14496
1500,14487
5816,14469
520,14439
920,14396
784,14379
44191,14356
832,14347
163,14321
48516,14309
2081,14294
370,14261
2353,14217
497,14214
653,14192
1608,14169
2985,14157
3471,14155
1266,14151
1552,14110
1028,14096
903,14094
953,14084
1035,14049
79132,14023
1199,13957
2302,13957
3175,13945
1639,13933
435,13911
2699,13866
2395,13780
2599,13756
196,13628
2321,13627
1233,13612
485,13577
3176,13563
3994,13555
2406,13553
466,13521
1673,13491
2657,13482
5618,13466
1358,13451
8665,13435
1320,13401
1777,13384
1997,13359
3081,13162
8368,13157
3253,13124
1376,13098
2001,13080
48,13046
2006,12999
7,12961
3753,12946
6016,12937
2804,12934
1203,12934
552,12901
1377,12841
432,12819
596,12782
3,12735
7147,12719
70,12712
172,12706
2529,12702
225,12662
158,12625
151,12616
2671,12588
1250,12576
802,12539
5060,12528
4979,12513
1215,12469
1408,12419
1396,12385
1204,12378
543,12348
1094,12348
49272,12311
33493,12303
2470,12297
6934,12282
5669,12280
1302,12267
1242,12266
3418,12258
236,12215
494,12190
60069,12176
6502,12170
5,12161
913,12144
1282,12139
168,12084
745,12073
2890,12045
4246,11986
145,11975
265,11975
59315,11944
1722,11907
112,11890
2763,11879
46578,11878
2100,11777
1748,11759
5218,11713
342,11690
3160,11684
805,11684
8874,11651
1876,11639
2572,11613
2019,11611
4308,11580
1729,11557
58,11549
3448,11548
3033,11536
1909,11469
1645,11458
2167,11401
48394,11399
1276,11353
1275,11350
3421,11347
376,11294
2424,11286
48780,11269
471,11268
282,11249
2947,11240
186,11222
2003,11200
4370,11196
628,11169
1674,11164
315,11164
1333,11160
2701,11038
1088,11013
1092,10998
1285,10991
333,10962
529,10952
1690,10932
910,10922
1262,10904
1372,10862
1375,10813
51662,10807
54286,10798
785,10746
44,10697
56367,10668
2407,10666
515,10661
1747,10608
1466,10585
1263,10572
852,10547
5502,10532
969,10526
3671,10519
4085,10516
5995,10515
4262,10494
7143,10464
246,10432
2005,10401
783,10389
261,10367
1597,10362
345,10312
55820,10248
3911,10246
661,10228
899,10219
4014,10207
1059,10195
5010,10192
5299,10190
2455,10174
2161,10169
2294,10163
2023,10141
2105,10076
252,10074
2080,10062
4720,10055
1293,10028
3255,10026
1339,10022
2278,9987
1569,9955
355,9939
22,9928
673,9917
40815,9908
256,9890
3755,9876
1060,9846
3101,9759
1371,9758
72998,9753
5459,9753
585,9713
1228,9711
914,9707
2770,9667
8644,9666
45722,9657
105,9620
35836,9588
6378,9574
3000,9564
3717,9543
1084,9533
762,9526
5679,9518
902,9499
8784,9454
68157,9447
31,9435
5377,9401
2273,9388
5902,9383
52,9320
4848,9307
68954,9264
1249,9227
2193,9217
63082,9208
1921,9204
3039,9191
6373,9159
30707,9159
1562,9144
198,9143
1343,9141
277,9140
3499,9136
1287,9106
1172,9100
475,9083
2248,9082
4025,9075
6863,9071
2539,9052
2021,9039
1120,9028
1994,9026
2336,9009
1267,8988
48774,8969
33166,8967
3256,8961
1022,8954
1029,8951
2694,8949
431,8946
45,8933
1129,8891
2076,8875
1271,8868
4447,8859
3552,8832
2002,8832
3702,8825
3006,8802
2150,8794
7254,8764
3703,8756
1405,8752
1061,8740
50872,8727
6942,8716
3785,8706
2078,8694
2058,8680
6807,8665
2968,8595
3535,8593
224,8581
1367,8581
1953,8571
1345,8569
2288,8557
2580,8554
4018,8554
216,8547
724,8538
2541,8529
4643,8524
1047,8522
29,8520
1918,8505
1947,8492
5991,8485
6537,8479
2871,8478
6870,8467
3082,8462
2144,8453
455,8453
4571,8420
30749,8416
5481,8415
2761,8407
180,8400
8464,8375
3489,8362
2746,8347
204,8335
1042,8327
1274,8324
4975,8318
1962,8317
1967,8305
5464,8284
4718,8268
1513,8252
2723,8239
2427,8238
2420,8234
2490,8232
2124,8218
2605,8202
4310,8198
8622,8179
720,8171
2724,8159
1272,8157
3752,8134
4776,8087
2717,8079
2641,8076
1235,8066
1244,8066
2393,8052
1357,8043
348,8038
70286,8038
441,8035
968,8029
3275,8027
849,8026
3863,8023
4361,8015
372,8010
1663,8001
2140,7980
24,7971
3210,7968
1907,7941
838,7938
2915,7902
1231,7902
1479,7896
8798,7895
2908,7893
647,7893
616,7892
1912,7885
170,7875
272,7871
1884,7852
2289,7846
610,7845
1032,7842
3510,7836
1261,7788
2085,7784
1223,7781
3107,7750
3108,7729
3174,7718
34405,7716
2020,7710
48385,7699
1027,7695
68358,7690
4270,7686
1093,7681
247,7681
2160,7665
719,7664
51255,7659
1188,7657
69122,7656
524,7630
362,7629
3967,7581
3916,7562
3624,7550
8949,7532
3386,7527
30793,7518
4816,7499
1805,7494
3363,7485
2826,7478
1321,7476
193,7464
1831,7463
531,7459
3072,7458
1347,7450
2881,7448
1373,7427
273,7424
1644,7418
3252,7414
44195,7412
2501,7378
1882,7373
2064,7371
468,7347
4239,7341
3868,7338
6218,7308
3617,7292
230,7284
7090,7267
2018,7257
306,7252
2722,7248
2145,7239
2581,7237
3826,7228
800,7196
4223,7185
2949,7183
2948,7182
319,7180
327,7159
3300,7154
1299,7150
2944,7140
4367,7131
41566,7112
1186,7099
34162,7096
3247,7095
1960,7078
3361,7077
2087,7075
741,7072
1175,7059
3362,7045
2108,7039
4002,7024
5956,7023
4148,7018
4321,7008
1037,7006
2094,6994
2109,6950
303,6945
1269,6894
2953,6880
49530,6878
1717,6872
3148,6861
1680,6854
1077,6853
2707,6821
2313,6813
3396,6793
3555,6791
4369,6789
5266,6773
1911,6762
2231,6759
1378,6755
5903,6751
1957,6721
1587,6713
3105,6711
6947,6704
1586,6692
1590,6687
8970,6686
1179,6685
307,6676
54503,6670
4638,6668
2352,6650
2366,6627
3698,6624
33679,6617
2359,6610
3301,6606
1020,6597
2951,6591
3317,6586
830,6585
898,6583
1212,6565
1296,6556
922,6525
2391,6514
8376,6502
40819,6493
3005,6487
2478,6485
56174,6467
2300,6461
34048,6456
237,6422
45499,6385
64614,6379
47610,6379
107,6376
2872,6376
1104,6372
3354,6365
4446,6362
671,6361
1292,6355
1982,6325
3020,6313
60,6313
2394,6312
135,6305
1952,6302
3556,6298
2371,6298
2096,6291
4874,6291
46976,6281
1253,6259
866,6230
5388,6222
1019,6215
27773,6207
562,6197
5013,6182
4734,6178
1965,6176
3257,6161
799,6151
232,6150
1298,6138
743,6112
2405,6111
413,6105
7293,6093
2232,6090
1095,6090
7458,6087
3424,6081
1245,6060
1385,6053
3798,6052
3273,6051
2431,6045
4641,6035
6953,6027
14,6022
1409,5998
162,5995
2421,5988
33004,5987
2616,5982
8361,5980
1779,5972
1441,5970
222,5968
1411,5968
532,5968
54001,5967
916,5961
1449,5957
1103,5951
194,5937
1438,5933
74458,5930
2243,5918
2795,5899
4019,5887
8984,5868
1801,5857
44665,5853
30812,5842
2686,5834
2335,5823
2788,5816
637,5791
4344,5788
78499,5781
1499,5781
1476,5779
2378,5771
36529,5768
69757,5767
2134,5758
2688,5742
2423,5739
73017,5736
3809,5736
44555,5720
954,5712
4855,5712
41569,5709
2067,5685
2428,5672
53996,5664
3608,5662
2125,5655
1945,5644
1185,5642
81845,5629
1041,5625
2137,5625
3988,5614
31658,5607
3263,5600
3450,5588
1086,5581
4299,5578
535,5576
1635,5570
1256,5569
2739,5566
39183,5556
546,5554
44199,5552
7373,5546
79,5535
3100,5534
4128,5532
1284,5529
4235,5511
4016,5504
8957,5499
2485,5498
5971,5489
6188,5488
4701,5486
379,5470
60684,5466
276,5459
491,5457
54272,5450
5945,5438
2010,5437
2467,5436
3704,5436
3745,5430
71535,5429
203,5429
53125,5428
1025,5428
30810,5424
880,5420
1350,5420
5673,5419
382,5419
4901,5416
207,5414
2369,5410
1257,5406
3285,5404
8528,5403
2409,5397
3697,5385
5064,5366
481,5360
5630,5355
3104,5351
215,5348
1100,5342
3168,5328
1556,5326
8950,5326
994,5299
2600,5298
837,5294
3087,5293
2403,5291
81591,5287
748,5279
1125,5267
8529,5264
80463,5264
8641,5258
1591,5255
5872,5253
2471,5247
3060,5235
56782,5233
2046,5213
2340,5210
3504,5206
18,5203
2384,5197
45447,5190
3969,5186
3113,5181
2116,5175
2013,5171
308,5170
2687,5158
1254,5155
2186,5154
1091,5148
4105,5128
909,5125
3254,5122
280,5104
538,5101
6281,5101
5810,5090
3409,5088
3827,5088
1883,5085
1958,5079
2410,5076
140,5073
2728,5072
5015,5062
55765,5055
2528,5054
3683,5053
52973,5051
1589,5044
1049,5039
915,5029
38061,5026
383,5025
1566,5024
1416,5017
1959,5016
4015,5010
3476,5005
3740,4999
361,4993
2986,4975
374,4965
3098,4964
89745,4959
3438,4951
249,4950
55247,4945
540,4943
1283,4941
6708,4936
930,4932
381,4925
59369,4923
3526,4921
428,4919
2840,4919
57669,4916
1894,4913
3435,4909
1955,4900
6157,4896
5225,4895
2991,4892
6323,4874
7445,4874
2411,4873
534,4869
68237,4867
65,4864
88,4864
836,4860
2402,4846
6534,4844
3157,4836
2662,4827
2642,4826
926,4826
1217,4824
1835,4823
765,4812
519,4812
5254,4803
175,4801
6565,4787
2398,4783
76251,4774
6979,4771
91529,4770
1693,4765
76093,4761
3264,4753
3186,4750
3360,4747
41997,4745
5954,4742
8972,4741
7022,4733
54997,4725
1248,4718
1711,4712
4890,4707
2803,4705
1619,4702
3986,4700
933,4699
41,4689
514,4681
3638,4680
2719,4677
6541,4670
3534,4670
4343,4666
1224,4656
3869,4654
2245,4653
338,4652
928,4652
5219,4647
2133,4642
2664,4642
227,4640
3681,4638
3893,4637
1124,4636
707,4627
4007,4627
2126,4621
5444,4614
5528,4603
2805,4582
8783,4581
2333,4575
2139,4574
1687,4572
2004,4571
8917,4568
2141,4551
4023,4548
3882,4547
5507,4542
419,4542
477,4534
1614,4529
2082,4525
3034,4525
1834,4521
412,4521
737,4519
7451,4517
2053,4509
144,4505
1388,4501
1678,4495
6936,4495
5782,4495
3198,4483
3246,4481
59784,4468
1792,4464
3298,4451
38038,4436
164,4435
955,4427
2413,4418
1344,4414
1297,4412
4865,4409
3178,4408
1209,4407
1620,4404
2857,4398
45517,4392
6787,4390
64957,4383
3267,4381
37729,4373
1956,4370
2841,4368
3984,4357
1885,4349
1013,4344
2318,4335
3083,4332
99114,4328
4161,4313
2301,4313
371,4313
4489,4308
86,4308
59615,4306
7502,4305
54259,4300
101,4298
3328,4293
69,4288
1227,4288
30825,4288
2792,4284
7323,4281
5617,4273
33660,4270
2863,4261
52722,4256
23,4250
218,4248
34319,4247
31696,4247
69844,4245
1260,4232
1031,4227
2338,4220
4084,4220
4881,4219
262,4217
2993,4210
6754,4200
77561,4192
905,4184
1892,4181
3635,4179
1243,4178
48738,4163
2527,4163
61323,4158
6287,4157
2311,4143
1237,4142
46723,4136
4448,4130
7360,4129
314,4124
3735,4123
8983,4119
147,4118
100,4115
6503,4112
1277,4099
2990,4090
2505,4087
20,4084
2009,4080
31685,4080
3173,4078
3825,4077
3159,4066
2808,4065
911,4062
53972,4058
3699,4055
290,4042
8958,4040
3744,4037
3452,4037
3536,4033
3037,4033
94,4030
1464,4022
5992,4017
64839,4012
2989,4005
4326,4002
4499,3999
31410,3998
839,3984
1588,3983
88125,3983
1033,3982
31878,3977
3593,3973
934,3970
1135,3969
8873,3968
8533,3968
69481,3965
2433,3965
9,3960
3468,3955
2973,3946
281,3936
4008,3932
2297,3930
2672,3925
1081,3925
2065,3925
1810,3916
2567,3913
2598,3910
51540,3907
951,3902
1616,3890
122,3888
81834,3884
4069,3883
37733,3878
1537,3876
940,3876
4327,3875
2735,3871
533,3865
3910,3862
3730,3856
4351,3854
1702,3849
2720,3847
3639,3846
3044,3845
3968,3845
12,3845
5049,3843
53322,3842
4639,3841
1301,3834
6796,3830
1974,3825
2917,3816
1281,3811
257,3811
1672,3807
2496,3794
1354,3793
267,3792
3019,3772
3070,3770
2375,3768
34150,3767
39292,3760
1719,3756
8810,3755
446,3752
3479,3747
2713,3742
1348,3741
2450,3741
1754,3738
1147,3737
3462,3732
1920,3731
79702,3726
2565,3726
2253,3724
4388,3724
6957,3714
5291,3712
7454,3712
761,3711
6383,3706
493,3699
3686,3699
2966,3691
2942,3690
2469,3687
52281,3684
2422,3683
4232,3682
1096,3681
87232,3678
6620,3678
1688,3676
2950,3674
3095,3674
1381,3670
351,3667
4623,3662
3543,3655
1211,3654
3156,3644
502,3642
58998,3630
2622,3625
965,3624
2976,3614
1303,3607
2404,3604
72011,3600
53000,3597
8132,3595
8981,3593
6440,3591
1300,3591
1078,3590
6385,3589
1515,3577
36517,3572
1178,3568
2412,3565
3030,3559
3271,3556
1459,3555
405,3554
91500,3550
7160,3550
3551,3547
56757,3546
6155,3546
728,3545
4980,3543
5400,3540
2088,3539
6350,3537
46530,3535
8807,3535
373,3527
125,3518
74,3514
4621,3513
4041,3507
8910,3505
5103,3504
1021,3503
1015,3501
542,3491
7162,3491
82459,3487
47099,3487
2454,3481
233,3478
3654,3476
3355,3475
3088,3471
1359,3463
2376,3462
5171,3459
3981,3458
1488,3452
517,3450
1950,3449
8638,3449
3146,3443
2819,3440
27706,3438
37741,3438
537,3431
1429,3431
516,3431
305,3429
1012,3427
7325,3424
2533,3421
33615,3418
2083,3413
2463,3408
2117,3407
427,3407
57368,3403
3155,3403
3258,3401
5878,3398
605,3396
2118,3388
1295,3385
7004,3383
3791,3383
76,3380
4467,3377
85414,3374
2379,3373
550,3373
8371,3370
4033,3366
41285,3366
2513,3364
2648,3361
950,3358
169,3358
2643,3352
2912,3349
4103,3338
3763,3335
